BYSID,BYTID,BYAID,BYHID,GENDER,BYS02003,BYS02004,BYS02012,BYS03001,BYS04007,BYS04008,BYS04009,BYS04010,BYS05001,BYS05003,BYS05006,BYS06001,BYS06004,BYS07001,BYS07002,BYS07003,BYS07006,BYS07014,BYS07022,BYS07025,BYS07026,BYS07027,BYS07029,BYS08001,BYS08002,BYS08003,BYS08004,BYS08005,BYS08007,BYS09001,BYS09002,BYS09003,BYS09004,BYS10001,BYS10002,BYS10003,BYS10005,BYS11001,BYS11002,BYS11003,BYS11004,BYS11005,BYS11006,BYS12001,BYS12004,BYS12007,BYS12010,BYS12013,BYS12016,BYS12019,BYS12022,BYS13001,BYS14001,BYS14013,BYS14025,BYS15001,BYS16001,BYS20001,BYS20007,BYS20009,BYS20011,BYS20013,BYS20015,BYS20017,BYS20018,BYS20019,BYS20020,BYS20021,BYS21001,BYS22001,BYS22002,BYS22003,BYS22006,BYS22010,BYS22012,BYS22013,BYS22014,BYS22015,BYS22017,BYS23002,BYS23003,BYS23004,BYS24001,BYS24002,BYS24005,BYS25001,BYS25002,BYS25003,BYS26001,BYS26002,BYS26003,BYS26004,BYS26005,BYS26006,BYS26007,BYS26009,BYS27001,BYS27003,BYS27006,BYS27010,BYS27011,BYS27012,BYS27020,BYS29001,BYS29002,BYS29003,BYS29004,BYS29005,BYS29006,BYS29007,BYS29008,BYS29009,BYS29010,BYS29011,BYS29012,BYS29013,BYS29014,BYS29015,BYS29016,BYS29017,BYS29018,BYS29019,BYS29020,BYS29021,BYS29022,BYSCLASS,J007C
2087,1552,155,20871,2,4,3,4,2,3,4,3,2,2,2,2,2,2,3,1,1,1,1,1,3,2,2,3,4,5,3,5,1,2,1,1,4,3,3,2,5,2,3,4,2,3,2,4,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,1,1,2,2,1,1,1,2,5,2,2,6,3,4,1,4,4,3,2,3,1,2,2,2,2,2,3,7,1,1,2,2,3,1,2,2,2,2,2,2,1,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
2088,1842,184,20881,2,4,4,2,1,3,5,1,2,2,1,1,2,2,5,1,1,1,1,1,4,1,1,4,1,1,3,6,1,1,1,1,2,3,5,2,6,4,4,3,2,3,4,3,1,1,1,1,1,2,2,2,2,2,1,2,1,5,1,2,2,1,2,2,1,1,1,2,12,2,8,5,3,4,1,4,4,4,3,4,1,4,2,2,2,1,4,7,1,3,3,1,1,1,1,2,2,2,2,2,3,1,2,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
2089,1532,153,20891,1,4,1,2,1,4,1,4,2,2,2,2,2,2,4,1,1,1,1,1,4,4,2,5,1,3,2,6,1,2,1,1,4,4,2,3,1,4,3,3,1,1,3,3,1,1,1,1,1,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1,4,2,6,9,3,3,1,3,3,4,2,3,1,6,2,1,7,2,3,6,1,3,3,2,2,1,2,2,2,2,2,2,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
2091,1561,156,20911,1,4,1,3,1,5,4,3,2,2,2,1,2,2,5,1,1,1,1,1,4,3,3,3,6,4,5,5,1,2,3,1,1,4,4,1,3,4,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,3,2,1,6,3,2,2,3,4,3,3,4,1,4,2,1,2,2,3,9,1,3,3,1,2,2,1,2,2,2,2,2,3,3,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2092,1192,119,20921,2,2,1,1,2,2,6,9,2,2,2,1,2,2,3,1,1,1,1,1,4,3,3,4,1,5,2,5,1,2,2,1,4,2,3,2,4,4,2,1,2,2,4,4,1,1,1,1,2,2,2,2,2,2,2,1,2,4,2,1,2,1,1,1,2,2,1,2,2,2,2,1,3,3,1,3,4,3,4,2,1,2,4,2,1,2,4,7,2,2,2,2,2,3,3,2,2,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
2093,1671,167,20931,1,3,2,2,1,4,5,4,2,1,1,1,2,2,4,1,1,1,1,1,4,1,1,3,1,5,6,6,4,4,2,1,1,4,4,1,6,5,3,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,1,1,2,2,2,1,1,1,12,2,1,6,3,4,1,4,4,4,3,2,1,7,2,1,2,1,4,7,2,3,2,2,2,1,1,2,2,2,2,2,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2094,1453,145,20941,1,4,3,4,1,5,3,5,2,2,2,2,2,2,4,1,1,1,1,1,2,1,1,1,2,5,1,6,1,1,1,1,4,5,1,4,1,1,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,1,1,1,1,3,2,2,6,3,4,1,4,5,5,4,4,2,3,2,1,7,2,4,8,1,1,1,1,1,1,1,1,2,2,2,2,10,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
2097,1263,126,20971,2,4,1,2,1,4,3,4,2,2,2,2,2,2,5,1,1,1,1,1,4,3,3,5,2,5,6,6,4,1,2,1,4,4,4,3,2,4,3,2,3,3,2,2,1,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2,7,2,2,1,2,2,4,2,5,1,8,1,2,7,2,4,10,1,2,1,1,1,1,1,2,2,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2098,1454,145,20981,1,3,1,1,1,5,1,6,2,2,1,1,2,2,5,1,1,1,1,1,4,2,1,4,1,1,2,4,3,1,1,1,4,5,3,2,1,4,4,4,5,5,4,4,1,1,1,1,1,2,2,2,2,1,2,1,1,5,1,1,2,1,2,1,1,1,1,1,6,2,1,2,5,5,1,5,5,5,5,4,1,2,2,1,3,2,4,6,1,2,2,1,1,1,1,1,2,2,2,2,1,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2099,1531,153,20991,1,2,1,1,1,3,6,7,2,2,2,2,2,2,2,1,1,1,1,2,4,1,1,1,1,1,1,5,1,2,1,1,3,4,2,2,5,3,5,5,5,3,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,4,2,2,2,1,2,2,2,2,1,2,12,2,8,5,2,3,2,3,4,4,3,4,2,1,1,1,2,2,2,6,1,3,3,2,1,1,4,3,1,2,2,2,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2100,1601,160,21001,1,3,1,4,1,4,4,3,2,2,2,2,2,2,4,1,1,1,1,1,4,1,1,2,1,5,6,6,2,1,2,1,1,4,4,2,1,6,4,2,2,1,5,4,1,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,1,1,2,1,2,2,1,2,7,2,9,2,3,2,2,2,4,3,2,2,6,1,1,1,7,2,4,7,1,3,3,2,2,2,1,3,2,2,2,2,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
2101,1631,163,21011,2,3,1,3,1,3,3,5,2,1,2,1,2,2,4,1,1,1,1,1,3,2,4,4,2,1,4,6,1,1,3,1,4,5,3,4,5,5,5,4,3,2,3,2,2,2,2,2,2,2,2,2,5,2,2,2,1,3,1,2,1,1,2,1,1,1,1,2,7,2,8,9,3,5,1,4,5,5,1,3,1,6,2,2,1,2,4,7,1,2,3,2,1,1,1,2,2,2,2,2,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2108,1524,152,21081,2,3,3,3,1,3,1,4,2,2,2,2,2,2,4,1,1,1,1,1,4,4,3,5,2,1,4,5,1,2,1,1,4,4,2,2,2,2,4,3,5,4,5,3,2,2,2,2,2,2,2,2,3,2,2,2,1,5,1,2,2,1,2,2,1,1,1,1,12,2,2,6,3,4,1,3,3,4,4,4,1,4,4,2,1,2,3,6,2,3,3,1,1,2,2,3,2,2,2,2,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
