BYS04008_1,BYS04008_2,BYS04008_3,BYS04008_4,BYS04008_5,BYS04008_6,BYS04008_7,BYS04008_8,BYS04008_9,BYS04009_1,BYS04009_2,BYS04009_3,BYS04009_4,BYS04009_5,BYS04009_6,BYS04009_7,BYS04009_8,BYS04009_9,BYS07002_1,BYS07002_2,BYS07002_3,BYS07002_4,BYS07002_5,BYS07002_6,BYS07006_1,BYS07006_2,BYS07006_3,BYS07006_4,BYS07006_5,BYS07006_6,BYS07014_1,BYS07014_2,BYS07014_3,BYS07014_4,BYS07014_5,BYS07014_6,BYS08001_1,BYS08001_2,BYS08001_3,BYS08001_4,BYS08001_5,BYS08001_6,BYS08001_7,BYS08002_1,BYS08002_2,BYS08002_3,BYS08002_4,BYS08002_5,BYS08002_6,BYS08005_1,BYS08005_10,BYS08005_11,BYS08005_12,BYS08005_13,BYS08005_14,BYS08005_2,BYS08005_3,BYS08005_4,BYS08005_5,BYS08005_6,BYS08005_7,BYS08005_8,BYS09002_1,BYS09002_2,BYS09002_3,BYS09003_1,BYS09003_2,BYS09003_3,BYS09003_4,BYS09003_5,BYS09003_6,BYS22001_1,BYS22001_10,BYS22001_2,BYS22001_3,BYS22001_4,BYS22001_5,BYS22001_6,BYS22001_7,BYS22001_8,BYS22001_9,BYS22002_1,BYS22002_10,BYS22002_2,BYS22002_3,BYS22002_4,BYS22002_5,BYS22002_6,BYS22002_7,BYS22002_8,BYS22002_9,BYS23002_1,BYS23002_2,BYS23002_3,BYS23002_4,BYS23002_5,BYS23002_6,BYS23002_7,BYS23002_8,BYS23002_9,BYS23003_1,BYS23003_2,BYS23003_3,BYS23003_4,BYS23003_5,BYS23003_6,BYS23003_7,BYS23003_8,BYS23003_9,BYS23004_1,BYS23004_2,BYS23004_3,BYS23004_4,BYS23004_5,BYS23004_6,BYS23004_7,BYS23004_8,BYS24002_1,BYS24002_2,BYS24002_3,BYS24002_4,BYS24002_5,BYS24002_7,BYS24002_8,BYS16001_1,BYS16001_2,BYS16001_3,BYS16001_4,BYS16001_5,BYS20021_1,BYS20021_10,BYS20021_11,BYS20021_12,BYS20021_13,BYS20021_2,BYS20021_3,BYS20021_4,BYS20021_5,BYS20021_6,BYS20021_7,BYS20021_8,BYS20021_9,BYS27020_1,BYS27020_10,BYS27020_11,BYS27020_12,BYS27020_13,BYS27020_14,BYS27020_15,BYS27020_2,BYS27020_3,BYS27020_4,BYS27020_5,BYS27020_6,BYS27020_7,BYS27020_8,BYS27020_9,BYS08007_1,BYS08007_10,BYS08007_11,BYS08007_12,BYS08007_13,BYS08007_14,BYS08007_2,BYS08007_3,BYS08007_4,BYS08007_5,BYS08007_6,BYS08007_7,BYS08007_8,BYS08007_9,BYS02003,BYS02004,BYS02012,BYS04007,BYS07001,BYS07025,BYS07026,BYS07027,BYS07029,BYS08003,BYS08004,BYS09001,BYS09004,BYS10001,BYS10002,BYS10003,BYS10005,BYS11001,BYS11002,BYS11003,BYS11004,BYS11005,BYS11006,BYS13001,BYS22003,BYS22006,BYS22012,BYS22013,BYS22014,BYS22015,BYS22017,BYS25001,BYS25003,GENDER,BYS03001,BYS04010,BYS05001,BYS05003,BYS05006,BYS06001,BYS06004,BYS07003,BYS07022,BYS12001,BYS12004,BYS12007,BYS12010,BYS12013,BYS12016,BYS12019,BYS12022,BYS14001,BYS14013,BYS14025,BYS15001,BYS20001,BYS20007,BYS20009,BYS20011,BYS20013,BYS20015,BYS20017,BYS20018,BYS20019,BYS20020,BYS21001,BYS22010,BYS24001,BYS24005,BYS26001,BYS26002,BYS26003,BYS26004,BYS26005,BYS26006,BYS26007,BYS26009,BYS27001,BYS27003,BYS27006,BYS27012,J007C
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,3,4,3,4,3,3,2,2,5,1,3,2,5,6,4,4,4,4,3,3,2,2,3,4,3,4,4,4,3,3,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,1,2,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,1,1,1,1,2,6,2,4,2,5,2,3,1,3,3,4,3,4,4,4,3,2,2,2,2,2,3,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,1,1,1,1,2,2,1,2,3,3,2,2,1,2,2,2,2,2,2,2,6
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,5,3,4,1,1,1,1,6,3,4,4,1,6,2,4,4,2,1,3,2,6,2,2,1,2,3,2,3,3,2,2,1,2,1,2,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,1,1,2,1,2,1,3,3,2,2,2,2,2,2,2,1,2,2,8
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,3,4,4,4,3,1,4,1,6,1,2,2,4,2,2,4,3,3,3,2,2,5,3,4,3,4,3,2,3,3,1,1,1,2,1,2,2,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,1,1,2,1,1,1,1,2,2,1,1,2,3,3,2,2,2,2,2,2,2,2,2,2,5
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,3,4,3,2,2,2,2,4,3,3,1,5,6,2,3,3,3,3,3,4,4,3,4,3,4,3,4,3,4,1,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,2,2,1,2,2,5
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,1,4,4,4,3,1,1,2,5,1,3,3,2,6,2,3,3,4,3,2,2,6,3,3,3,4,3,3,4,4,3,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,8
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,1,3,5,4,1,1,5,2,6,3,4,2,4,5,4,3,2,2,2,4,2,4,3,4,2,3,2,4,4,4,1,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,1,1,1,1,1,2,1,3,3,2,1,1,1,3,2,2,1,2,2,2
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,4,4,3,1,1,1,1,6,3,3,2,2,2,4,2,2,4,3,2,3,7,3,2,3,3,3,3,3,4,1,2,1,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,1,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,4,4,4,4,2,2,4,3,4,1,4,1,4,6,1,5,4,3,2,4,3,6,2,4,4,4,4,2,3,3,1,2,1,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,3,3,1,1,1,1,2,2,2,2,2,2,6
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,4,5,4,3,2,1,2,2,4,2,3,1,3,2,2,3,3,1,1,3,2,2,2,3,3,4,4,3,3,5,3,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,3,3,2,2,1,1,1,2,2,1,2,2,6
